INFO:posts.tasks: Ending soon PUSH message candidates 7: {1} (2016-12-11 11:15:15; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 7: [] (2016-12-11 11:15:15; tasks.py:46)
INFO:posts.tasks: Creating notifications for 7, [], notify_type is 3 (2016-12-11 11:15:15; tasks.py:74)
INFO:posts.tasks: Created notifications for 7, [] (2016-12-11 11:15:15; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 7 [] (2016-12-11 11:15:15; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:15:45; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2016-12-11 11:15:45; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:15:45; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2016-12-11 11:15:45; tasks.py:129)
INFO:posts.tasks: Got votes [] (2016-12-11 11:15:45; tasks.py:136)
INFO:posts.tasks: Got post voters: [] (2016-12-11 11:15:45; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2016-12-11 11:15:45; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:15:45; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:15:45; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 7 {1} (2016-12-11 11:15:45; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 7: {1} (2016-12-11 11:15:45; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 7: [] (2016-12-11 11:15:45; tasks.py:46)
INFO:posts.tasks: Creating notifications for 7, [], notify_type is 3 (2016-12-11 11:15:45; tasks.py:74)
INFO:posts.tasks: Created notifications for 7, [] (2016-12-11 11:15:45; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 7 [] (2016-12-11 11:15:45; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:16:15; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2016-12-11 11:16:15; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:16:15; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2016-12-11 11:16:15; tasks.py:129)
INFO:posts.tasks: Got votes [] (2016-12-11 11:16:15; tasks.py:136)
INFO:posts.tasks: Got post voters: [] (2016-12-11 11:16:15; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2016-12-11 11:16:15; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:16:15; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:16:15; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 7 {1} (2016-12-11 11:16:15; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 7: {1} (2016-12-11 11:16:15; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 7: [] (2016-12-11 11:16:15; tasks.py:46)
INFO:posts.tasks: Creating notifications for 7, [], notify_type is 3 (2016-12-11 11:16:15; tasks.py:74)
INFO:posts.tasks: Created notifications for 7, [] (2016-12-11 11:16:15; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 7 [] (2016-12-11 11:16:15; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:16:45; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2016-12-11 11:16:45; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:16:45; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2016-12-11 11:16:45; tasks.py:129)
INFO:posts.tasks: Got votes [] (2016-12-11 11:16:45; tasks.py:136)
INFO:posts.tasks: Got post voters: [] (2016-12-11 11:16:45; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2016-12-11 11:16:45; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:16:45; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:16:45; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 7 {1} (2016-12-11 11:16:45; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 7: {1} (2016-12-11 11:16:45; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 7: [] (2016-12-11 11:16:45; tasks.py:46)
INFO:posts.tasks: Creating notifications for 7, [], notify_type is 3 (2016-12-11 11:16:45; tasks.py:74)
INFO:posts.tasks: Created notifications for 7, [] (2016-12-11 11:16:45; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 7 [] (2016-12-11 11:16:45; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:17:15; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2016-12-11 11:17:15; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:17:15; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2016-12-11 11:17:15; tasks.py:129)
INFO:posts.tasks: Got votes [] (2016-12-11 11:17:15; tasks.py:136)
INFO:posts.tasks: Got post voters: [] (2016-12-11 11:17:15; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2016-12-11 11:17:15; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:17:15; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:17:15; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 7 {1} (2016-12-11 11:17:15; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 7: {1} (2016-12-11 11:17:15; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 7: [] (2016-12-11 11:17:15; tasks.py:46)
INFO:posts.tasks: Creating notifications for 7, [], notify_type is 3 (2016-12-11 11:17:15; tasks.py:74)
INFO:posts.tasks: Created notifications for 7, [] (2016-12-11 11:17:15; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 7 [] (2016-12-11 11:17:15; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:17:45; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2016-12-11 11:17:45; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:17:45; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2016-12-11 11:17:45; tasks.py:129)
INFO:posts.tasks: Got votes [] (2016-12-11 11:17:45; tasks.py:136)
INFO:posts.tasks: Got post voters: [] (2016-12-11 11:17:45; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2016-12-11 11:17:45; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:17:45; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'owner': {7: {1}}, 'downvote': {}, 'pinned': {}, 'upvote': {}} (2016-12-11 11:17:45; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 7 {1} (2016-12-11 11:17:45; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 7: {1} (2016-12-11 11:17:45; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 7: [] (2016-12-11 11:17:45; tasks.py:46)
INFO:posts.tasks: Creating notifications for 7, [], notify_type is 3 (2016-12-11 11:17:45; tasks.py:74)
INFO:posts.tasks: Created notifications for 7, [] (2016-12-11 11:17:45; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 7 [] (2016-12-11 11:17:45; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'user_id': 1, 'post_id': 7}] (2016-12-11 11:18:15; tasks.py:102)
